           1        -nan        -nan         nan
           2        -nan        -nan         nan
           1     1.21112     1.21112           0
           2     1.21254     1.21183 0.000501667
           3     1.21158     1.21175 0.000341378
           4     1.21058     1.21146 0.000359067
           5     1.21478     1.21212 0.000659592
           6     1.21232     1.21215 0.000550499
           7      1.2139      1.2124 0.000525294
           8     1.21175     1.21232 0.000466017
           9     1.21352     1.21245  0.00043281
          10     1.21321     1.21253 0.000396021
          11     1.21085     1.21238 0.000388272
          12     1.21665     1.21273 0.000492969
          13     1.21384     1.21282 0.000462389
          14     1.20909     1.21255 0.000500183
          15     1.21052     1.21242 0.000484838
          16     1.21194     1.21239  0.00045544
          17     1.21052     1.21228 0.000441726
          18      1.2112     1.21222 0.000421189
          19     1.21006      1.2121 0.000414113
          20     1.21283     1.21214  0.00039498
