           1        -nan        -nan         nan
           2        -nan        -nan         nan
           1   -0.162393   -0.162393           0
           2   -0.159462   -0.160928  0.00103612
           3    -0.16266   -0.161505 0.000836293
           4   -0.163685    -0.16205  0.00078498
           5   -0.154877   -0.160615  0.00142858
           6   -0.160005   -0.160514   0.0011941
           7   -0.158131   -0.160173  0.00107093
           8   -0.161665    -0.16036 0.000953148
           9   -0.157354   -0.160026 0.000903851
          10   -0.159339   -0.159957 0.000816072
          11   -0.162719   -0.160208 0.000779551
          12   -0.152725   -0.159585 0.000931175
          13   -0.158459   -0.159498 0.000863559
          14   -0.164761   -0.159874 0.000879904
          15   -0.163223   -0.160097 0.000849091
          16   -0.160984   -0.160153 0.000797831
          17   -0.162711   -0.160303 0.000764959
          18   -0.161232   -0.160355 0.000724201
          19   -0.163865    -0.16054 0.000709254
          20   -0.159591   -0.160492 0.000675377
