           1        -nan        -nan         nan
           2        -nan        -nan         nan
           1    0.807415    0.807415           0
           2    0.808361    0.807888 0.000334445
           3     0.80772    0.807832 0.000227586
           4    0.807057    0.807638 0.000239378
           5    0.809851    0.808081 0.000439728
           6    0.808214    0.808103    0.000367
           7    0.809266    0.808269 0.000350196
           8    0.807831    0.808214 0.000310678
           9    0.809012    0.808303  0.00028854
          10    0.808805    0.808353 0.000264014
          11    0.807235    0.808251 0.000258848
          12    0.811101    0.808489 0.000328646
          13    0.809229    0.808546  0.00030826
          14    0.806061    0.808368 0.000333455
          15    0.807014    0.808278 0.000323225
          16    0.807962    0.808258 0.000303627
          17    0.807012    0.808185 0.000294484
          18     0.80747    0.808145 0.000280793
          19    0.806704    0.808069 0.000276076
          20    0.808551    0.808093  0.00026332
